epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.191,2.99466,3.33076,3.57389,0.14114,0.24537,0.10991,0.03587,2.4365,3.32864,3.05579,0.000554238,0.000554238,0.000554238
2,283.492,2.0856,2.51875,2.53788,0.42143,0.39425,0.35889,0.15913,1.91508,2.33739,2.43261,0.00108793,0.00108793,0.00108793
3,414.918,1.81372,2.14289,2.23244,0.48591,0.4747,0.4615,0.21822,1.79323,2.14712,2.27508,0.00159961,0.00159961,0.00159961
4,546.278,1.69215,1.97182,2.09898,0.50805,0.49575,0.48632,0.2344,1.69522,2.01844,2.19361,0.00156798,0.00156798,0.00156798
5,676.217,1.59109,1.80786,1.9926,0.6254,0.56851,0.60808,0.32395,1.61188,1.65655,2.09136,0.00153497,0.00153497,0.00153497
6,814.391,1.52233,1.70271,1.914,0.65108,0.59903,0.63703,0.34896,1.52836,1.61052,1.96466,0.00150197,0.00150197,0.00150197
7,949.013,1.47499,1.62383,1.86624,0.70844,0.62087,0.69118,0.40573,1.41255,1.43213,1.88512,0.00146896,0.00146896,0.00146896
8,1083.97,1.41569,1.53904,1.81392,0.67925,0.60665,0.66947,0.39526,1.41443,1.45385,1.87681,0.00143595,0.00143595,0.00143595
9,1226.16,1.3888,1.48874,1.78268,0.69662,0.64836,0.69688,0.42229,1.35199,1.34405,1.79493,0.00140295,0.00140295,0.00140295
10,1359.27,1.35912,1.43682,1.73847,0.72844,0.67913,0.73221,0.44997,1.30427,1.31018,1.73468,0.00136994,0.00136994,0.00136994
11,1489.68,1.33362,1.40171,1.71483,0.73651,0.67097,0.72785,0.44469,1.32236,1.25211,1.74761,0.00133693,0.00133693,0.00133693
12,1619.76,1.31006,1.36645,1.69145,0.75079,0.69977,0.76241,0.48588,1.25753,1.16643,1.67989,0.00130393,0.00130393,0.00130393
13,1750.27,1.28914,1.32879,1.6671,0.74834,0.70455,0.76841,0.49084,1.2278,1.15778,1.66156,0.00127092,0.00127092,0.00127092
14,1879.37,1.26239,1.29113,1.64488,0.74535,0.70842,0.76702,0.4983,1.21987,1.14492,1.63957,0.00123791,0.00123791,0.00123791
15,2009.43,1.24582,1.26987,1.63614,0.75323,0.71419,0.77581,0.50433,1.1987,1.11355,1.62494,0.00120491,0.00120491,0.00120491
16,2138.99,1.23542,1.24407,1.61629,0.76217,0.72753,0.78655,0.50491,1.20822,1.09848,1.64247,0.0011719,0.0011719,0.0011719
17,2268.99,1.21338,1.21164,1.59749,0.78847,0.72141,0.79317,0.52679,1.15949,1.07196,1.57104,0.00113889,0.00113889,0.00113889
18,2398.74,1.21376,1.21229,1.60108,0.79479,0.73352,0.80782,0.53485,1.16285,1.02994,1.58684,0.00110589,0.00110589,0.00110589
19,2527.84,1.19034,1.17427,1.58117,0.7786,0.72975,0.80466,0.53491,1.13941,1.03187,1.54799,0.00107288,0.00107288,0.00107288
20,2657.18,1.18509,1.16981,1.56879,0.80858,0.72662,0.81757,0.54496,1.14065,0.99516,1.53816,0.00103987,0.00103987,0.00103987
21,2787.02,1.16298,1.14311,1.5609,0.78956,0.73641,0.81266,0.55085,1.1287,0.98583,1.54463,0.00100687,0.00100687,0.00100687
22,2916.11,1.16452,1.14181,1.55353,0.79532,0.74684,0.82471,0.55806,1.11146,0.96421,1.5214,0.000973861,0.000973861,0.000973861
23,3045.55,1.14235,1.12165,1.53846,0.81742,0.73994,0.82836,0.56328,1.1163,0.96627,1.53118,0.000940855,0.000940855,0.000940855
24,3174.9,1.13249,1.10407,1.52971,0.81015,0.76855,0.83223,0.57633,1.07388,0.92444,1.48646,0.000907848,0.000907848,0.000907848
25,3303.85,1.12939,1.09384,1.52321,0.81584,0.74586,0.83345,0.57849,1.06929,0.94977,1.4781,0.000874842,0.000874842,0.000874842
26,3433.64,1.13047,1.08908,1.52086,0.82897,0.75367,0.83958,0.57355,1.08976,0.93289,1.50459,0.000841835,0.000841835,0.000841835
27,3563.63,1.10975,1.06346,1.5072,0.82052,0.75844,0.83955,0.58427,1.06606,0.91508,1.47778,0.000808828,0.000808828,0.000808828
28,3693.94,1.09665,1.04632,1.50125,0.82321,0.77447,0.84704,0.59085,1.0514,0.89845,1.46192,0.000775822,0.000775822,0.000775822
29,3823.9,1.10452,1.05162,1.503,0.82528,0.77326,0.85175,0.59709,1.04177,0.87156,1.4553,0.000742815,0.000742815,0.000742815
30,3953.79,1.09037,1.03226,1.48442,0.8336,0.77683,0.85311,0.60398,1.03096,0.86453,1.4433,0.000709809,0.000709809,0.000709809
31,4082.13,1.08719,1.02668,1.48492,0.83843,0.77544,0.85544,0.60275,1.03489,0.86045,1.44706,0.000676802,0.000676802,0.000676802
32,4211.74,1.07969,1.02303,1.4797,0.84965,0.77358,0.85662,0.60867,1.02252,0.85499,1.43812,0.000643795,0.000643795,0.000643795
33,4341.04,1.06735,1.00756,1.47092,0.83676,0.7819,0.85644,0.61302,1.00278,0.84549,1.42325,0.000610789,0.000610789,0.000610789
34,4470.16,1.05615,0.99266,1.46388,0.84798,0.76988,0.85928,0.61553,1.00203,0.83507,1.40832,0.000577782,0.000577782,0.000577782
35,4599.05,1.05936,0.98808,1.4585,0.83623,0.79101,0.86025,0.61901,1.00237,0.82444,1.40589,0.000544776,0.000544776,0.000544776
36,4728.88,1.04913,0.97775,1.4503,0.8503,0.78576,0.86105,0.62051,0.99465,0.81545,1.41081,0.000511769,0.000511769,0.000511769
