epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.998,3.00513,3.32658,3.58036,0.12579,0.19268,0.08846,0.0313,2.44276,4.73592,3.12028,0.000554242,0.000554242,0.000554242
2,273.795,2.0939,2.52759,2.534,0.41562,0.37137,0.33629,0.14905,1.94905,2.66876,2.48805,0.00109892,0.00109892,0.00109892
3,404.335,1.82593,2.15552,2.2324,0.47649,0.45595,0.42431,0.20443,1.7944,2.10638,2.31275,0.0016326,0.0016326,0.0016326
4,534.139,1.68401,1.95167,2.09141,0.58655,0.50066,0.51857,0.26983,1.67143,1.87889,2.18257,0.00161749,0.00161749,0.00161749
5,662.061,1.59228,1.81773,1.98668,0.62809,0.55873,0.59347,0.31341,1.57568,1.73271,2.08168,0.00160099,0.00160099,0.00160099
6,791.588,1.52178,1.70642,1.91494,0.6603,0.60726,0.65148,0.3629,1.48819,1.54844,1.94706,0.00158448,0.00158448,0.00158448
7,920.094,1.47647,1.61743,1.85357,0.64682,0.60826,0.64285,0.35707,1.46726,1.64922,1.91292,0.00156798,0.00156798,0.00156798
8,1047.5,1.41907,1.53891,1.80601,0.69534,0.61609,0.67267,0.38386,1.43579,1.46546,1.88665,0.00155148,0.00155148,0.00155148
9,1177.86,1.39654,1.49795,1.77861,0.72643,0.65377,0.72032,0.43238,1.34702,1.31083,1.80621,0.00153497,0.00153497,0.00153497
10,1307.26,1.3651,1.45976,1.7506,0.71554,0.65628,0.71884,0.44057,1.34308,1.29894,1.77781,0.00151847,0.00151847,0.00151847
11,1437.85,1.34014,1.41093,1.72539,0.70997,0.7036,0.74448,0.45811,1.28875,1.25955,1.74215,0.00150197,0.00150197,0.00150197
12,1566.47,1.31284,1.37638,1.69893,0.74625,0.6782,0.75245,0.47809,1.27428,1.18061,1.71394,0.00148546,0.00148546,0.00148546
13,1696.58,1.28212,1.33619,1.67737,0.74702,0.71216,0.7676,0.48522,1.27339,1.1647,1.69758,0.00146896,0.00146896,0.00146896
14,1828.06,1.27831,1.32278,1.6644,0.74821,0.71062,0.76604,0.49495,1.24725,1.15024,1.67663,0.00145246,0.00145246,0.00145246
15,1956.92,1.25569,1.28203,1.64447,0.76674,0.7214,0.78606,0.50712,1.21706,1.10381,1.65205,0.00143595,0.00143595,0.00143595
16,2084.37,1.24952,1.26933,1.63474,0.78747,0.70604,0.79094,0.51314,1.21053,1.09426,1.62389,0.00141945,0.00141945,0.00141945
17,2212.74,1.22848,1.24798,1.62278,0.77904,0.72791,0.80324,0.52853,1.17907,1.07903,1.61367,0.00140295,0.00140295,0.00140295
18,2340.8,1.22336,1.22507,1.6091,0.77586,0.7382,0.79893,0.53142,1.15961,1.05189,1.59958,0.00138644,0.00138644,0.00138644
19,2469.12,1.20799,1.20959,1.59431,0.79681,0.72505,0.80836,0.54016,1.16005,1.02561,1.58884,0.00136994,0.00136994,0.00136994
20,2599.91,1.19937,1.19171,1.58425,0.79374,0.74051,0.80344,0.54513,1.12514,1.0028,1.55944,0.00135344,0.00135344,0.00135344
21,2727.35,1.19066,1.18582,1.57912,0.78389,0.73804,0.80861,0.54454,1.12515,1.01388,1.55442,0.00133693,0.00133693,0.00133693
22,2857.3,1.18599,1.17237,1.57269,0.79608,0.72674,0.81086,0.54849,1.12695,1.03559,1.57192,0.00132043,0.00132043,0.00132043
23,2985.16,1.17293,1.15757,1.56464,0.78662,0.76113,0.82097,0.56063,1.10673,0.96259,1.5291,0.00130393,0.00130393,0.00130393
24,3112.53,1.15715,1.14422,1.556,0.81791,0.74408,0.82869,0.56349,1.10598,0.97555,1.52804,0.00128742,0.00128742,0.00128742
25,3241.09,1.14845,1.12404,1.53905,0.79348,0.75849,0.8256,0.56715,1.09091,0.94319,1.51397,0.00127092,0.00127092,0.00127092
26,3369.46,1.14423,1.1194,1.5416,0.81181,0.75734,0.83249,0.57452,1.08071,0.93162,1.50839,0.00125442,0.00125442,0.00125442
27,3500.54,1.12813,1.09502,1.52071,0.81463,0.76694,0.84144,0.58454,1.07015,0.89696,1.49145,0.00123791,0.00123791,0.00123791
28,3628.17,1.12703,1.07953,1.51867,0.8301,0.75303,0.83865,0.58762,1.05973,0.91302,1.47885,0.00122141,0.00122141,0.00122141
29,3758.14,1.12922,1.08497,1.52364,0.81566,0.76347,0.84121,0.58638,1.05122,0.92844,1.46657,0.00120491,0.00120491,0.00120491
30,3889.37,1.10613,1.05963,1.50334,0.81936,0.77025,0.84608,0.59815,1.03799,0.88898,1.46075,0.0011884,0.0011884,0.0011884
31,4016.89,1.09546,1.05033,1.49682,0.83092,0.76947,0.84999,0.59714,1.0341,0.89464,1.45737,0.0011719,0.0011719,0.0011719
32,4144.2,1.10066,1.06292,1.49446,0.83653,0.76687,0.84989,0.59994,1.04245,0.8697,1.45136,0.0011554,0.0011554,0.0011554
33,4271.7,1.09469,1.04283,1.48516,0.84343,0.77494,0.85511,0.60305,1.03215,0.86622,1.44393,0.00113889,0.00113889,0.00113889
34,4398.99,1.08472,1.03367,1.47925,0.84188,0.7689,0.85733,0.60619,1.01931,0.85139,1.43739,0.00112239,0.00112239,0.00112239
35,4526.74,1.07583,1.02146,1.46919,0.83366,0.78189,0.85416,0.60799,1.00469,0.85855,1.42719,0.00110589,0.00110589,0.00110589
36,4657.58,1.06875,1.00911,1.47196,0.83988,0.78315,0.85983,0.61463,1.00764,0.83402,1.43109,0.00108938,0.00108938,0.00108938
37,4785.73,1.06825,1.01032,1.46488,0.85409,0.78381,0.86557,0.61557,1.0121,0.82242,1.42045,0.00107288,0.00107288,0.00107288
38,4913.51,1.06024,0.99797,1.46227,0.84159,0.78805,0.86409,0.62141,0.99777,0.80654,1.41686,0.00105638,0.00105638,0.00105638
39,5041.51,1.05002,0.98079,1.44947,0.85212,0.78408,0.86574,0.62186,0.99562,0.82185,1.42183,0.00103987,0.00103987,0.00103987
40,5171.42,1.05408,0.99069,1.45334,0.83806,0.787,0.8615,0.62196,0.98654,0.81124,1.40439,0.00102337,0.00102337,0.00102337
41,5301.44,1.04784,0.97649,1.45321,0.84722,0.78505,0.86653,0.62382,0.98654,0.80124,1.40729,0.00100687,0.00100687,0.00100687
42,5429.82,1.04859,0.98111,1.44951,0.8382,0.79359,0.86245,0.62503,0.98164,0.80969,1.40137,0.000990365,0.000990365,0.000990365
43,5559.01,1.04577,0.97923,1.44696,0.84025,0.80184,0.86869,0.63027,0.97964,0.79676,1.39297,0.000973861,0.000973861,0.000973861
44,5688.95,1.02264,0.95356,1.43721,0.84806,0.79668,0.86895,0.63214,0.97265,0.79047,1.38392,0.000957358,0.000957358,0.000957358
45,5816.76,1.02845,0.9402,1.4294,0.85098,0.79157,0.87205,0.63489,0.96374,0.78488,1.37634,0.000940855,0.000940855,0.000940855
46,5946.41,1.02621,0.95534,1.43047,0.8455,0.79081,0.87308,0.63845,0.96051,0.77563,1.37489,0.000924352,0.000924352,0.000924352
47,6076.29,1.01741,0.94086,1.42199,0.84799,0.79505,0.87478,0.64031,0.96174,0.76518,1.3828,0.000907848,0.000907848,0.000907848
48,6205.07,1.02181,0.93544,1.42624,0.85678,0.80524,0.87624,0.64324,0.9513,0.7647,1.36716,0.000891345,0.000891345,0.000891345
49,6332.96,1.01529,0.93177,1.41692,0.84879,0.80966,0.87642,0.64207,0.95174,0.7604,1.36657,0.000874842,0.000874842,0.000874842
50,6463.92,1.00954,0.93135,1.4124,0.85728,0.807,0.8781,0.64394,0.94931,0.75943,1.36523,0.000858338,0.000858338,0.000858338
51,6592.67,1.00331,0.91694,1.40792,0.85317,0.80797,0.87804,0.64648,0.9436,0.74528,1.36192,0.000841835,0.000841835,0.000841835
52,6721.7,1.00388,0.91829,1.41602,0.85154,0.80566,0.87829,0.64719,0.94234,0.753,1.35981,0.000825332,0.000825332,0.000825332
53,6851.44,1.00023,0.91357,1.40591,0.85996,0.80588,0.87988,0.65093,0.94092,0.74443,1.35693,0.000808828,0.000808828,0.000808828
54,6984.97,0.99082,0.8959,1.40307,0.84789,0.81398,0.87996,0.65413,0.92989,0.74482,1.34333,0.000792325,0.000792325,0.000792325
55,7114.24,0.9947,0.90239,1.40307,0.85921,0.80737,0.88075,0.65401,0.93039,0.74062,1.34597,0.000775822,0.000775822,0.000775822
56,7244.13,0.99166,0.90473,1.40115,0.85202,0.81371,0.883,0.6583,0.92618,0.7353,1.34208,0.000759318,0.000759318,0.000759318
57,7374.13,0.98829,0.89007,1.3952,0.85939,0.81237,0.88474,0.65713,0.92702,0.72721,1.34231,0.000742815,0.000742815,0.000742815
58,7502.46,0.97632,0.89305,1.39257,0.86412,0.80854,0.88411,0.66176,0.91934,0.72954,1.33541,0.000726312,0.000726312,0.000726312
59,7630.52,0.97823,0.87949,1.38519,0.85354,0.81783,0.88354,0.65999,0.91666,0.72691,1.33373,0.000709809,0.000709809,0.000709809
60,7758.86,0.96862,0.87609,1.38058,0.86638,0.81209,0.88557,0.66387,0.91266,0.71781,1.33143,0.000693305,0.000693305,0.000693305
61,7887.23,0.96621,0.87536,1.37567,0.8648,0.81185,0.88583,0.66429,0.91237,0.7139,1.33164,0.000676802,0.000676802,0.000676802
62,8016.04,0.97415,0.8721,1.37862,0.85708,0.81491,0.88408,0.66272,0.91401,0.7113,1.3281,0.000660299,0.000660299,0.000660299
63,8144.95,0.96912,0.86713,1.38255,0.8547,0.81666,0.88508,0.66659,0.90903,0.71157,1.33135,0.000643795,0.000643795,0.000643795
64,8275.56,0.9534,0.85987,1.37402,0.85857,0.82004,0.88519,0.6656,0.9088,0.70903,1.3277,0.000627292,0.000627292,0.000627292
65,8403.6,0.94903,0.85223,1.36975,0.86015,0.82072,0.88954,0.66856,0.90694,0.70115,1.32627,0.000610789,0.000610789,0.000610789
